SEQID,MSOA11CD,MSOA11NM,OBESE,TOTAL,IMDMSOA,RESTCAT
471,E02000495,Hillingdon 002,35,287,12.01666667,2
472,E02000496,Hillingdon 003,47,244,19.46,1
473,E02000497,Hillingdon 004,46,274,14.14,1
474,E02000498,Hillingdon 005,21,182,11.525,1
475,E02000499,Hillingdon 006,33,225,6.94,1
476,E02000500,Hillingdon 007,24,209,6.96,2
477,E02000501,Hillingdon 008,51,284,8.8,1
478,E02000502,Hillingdon 009,46,273,8.72,1
479,E02000503,Hillingdon 010,52,302,7.88,1
480,E02000504,Hillingdon 011,30,252,6.14,1
481,E02000506,Hillingdon 013,30,207,8.68,1
482,E02000507,Hillingdon 014,68,322,11.02,1
483,E02000508,Hillingdon 015,39,194,16.125,2
484,E02000509,Hillingdon 016,43,260,19.025,2
485,E02000510,Hillingdon 017,63,298,16.02,1
486,E02000511,Hillingdon 018,77,390,15.38333333,0
487,E02000512,Hillingdon 019,76,327,26.1,1
488,E02000513,Hillingdon 020,133,448,29.24,0
489,E02000514,Hillingdon 021,122,435,20.93333333,1
490,E02000515,Hillingdon 022,85,367,25.35,2
491,E02000516,Hillingdon 023,102,373,23.36,0
492,E02000517,Hillingdon 024,115,441,26.8,1
493,E02000518,Hillingdon 025,87,385,28.08,1
494,E02000519,Hillingdon 026,108,385,29.92,1
495,E02000520,Hillingdon 027,142,539,26.46666667,1
496,E02000521,Hillingdon 028,117,485,28.28,1
497,E02000522,Hillingdon 029,89,359,24.58,1
498,E02000523,Hillingdon 030,116,415,20.2,1
499,E02000524,Hillingdon 031,68,225,24.1,2
500,E02000525,Hillingdon 032,108,386,23.5,1
501,E02000526,Hounslow 001,13,119,10.56,1
502,E02000528,Hounslow 003,75,356,30.43333333,1
503,E02000529,Hounslow 004,82,328,22.72,1
504,E02000530,Hounslow 005,83,348,33.325,1
505,E02000531,Hounslow 006,48,265,23.46,1
506,E02000532,Hounslow 007,24,186,14.68333333,1
507,E02000533,Hounslow 008,24,199,15.94,1
508,E02000534,Hounslow 009,47,243,13.7,1
509,E02000535,Hounslow 010,87,312,19.62,1
510,E02000536,Hounslow 011,81,317,20.92,1
511,E02000537,Hounslow 012,57,238,16.16,1
512,E02000538,Hounslow 013,96,337,22.16,1
513,E02000539,Hounslow 014,77,384,22.18,1
514,E02000540,Hounslow 015,84,327,19.82,2
515,E02000541,Hounslow 016,85,347,24.08,1
516,E02000542,Hounslow 017,99,431,23.82,1
517,E02000543,Hounslow 018,99,447,21.26666667,2
518,E02000544,Hounslow 019,60,262,14.36,0
519,E02000545,Hounslow 020,67,332,26.08,1
520,E02000546,Hounslow 021,118,395,20.62,1
521,E02000547,Hounslow 022,97,337,20.36,1
522,E02000548,Hounslow 023,106,376,27.66,1
523,E02000549,Hounslow 024,114,449,22.31666667,1
524,E02000550,Hounslow 025,101,445,26.75,1
525,E02000551,Hounslow 026,97,369,32.4,1
526,E02000552,Hounslow 027,83,296,17.68,1
527,E02000553,Hounslow 028,58,247,21.55,0
528,E02000554,Islington 001,71,282,36.56666667,1
529,E02000555,Islington 002,50,235,26.33333333,1
530,E02000556,Islington 003,35,188,28.76666667,2
531,E02000557,Islington 004,51,184,33.52,2
